,Unnamed: 0,0
1013,1013,"atlanta, ga"
1014,1014,"dallas, tx"
1015,1015,"phoenix, az"
1016,1016,"kansas city, mo"
1017,1017,"newark, de"
1018,1018,"missouri, usa"
1019,1019,"miami, fl"
1020,1020,london
1021,1021,"portland, or"
1022,1022,"new york, usa"
1023,1023,"denver, co"
1024,1024,boston-ish
1025,1025,"las vegas, nv"
1026,1026,"texas, usa"
1027,1027,"san antonio, tx"
1028,1028,"pennsylvania, usa"
1029,1029,"santa barbara, ca"
1030,1030,"vancouver, british columbia"
1031,1031,"connecticut, usa"
1032,1032,"los angeles, ca"
1033,1033,boston || dc || london
1034,1034,"new york, ny"
1035,1035,"pennsylvania, usa"
1036,1036,"mannheim, alemania"
1037,1037,germany
1038,1038,"austin, tx"
1039,1039,"portland, oregon"
1040,1040,"los angeles, ca"
1041,1041,portland
1042,1042,"tempe, az"
1043,1043,"las vegas, nv"
1044,1044,"los angeles, ca"
1045,1045,"baltimore, md"
1046,1046,"canton, oh"
1047,1047,"23, chicago"
1048,1048,"kingston, ontario"
1049,1049,"cleveland, oh"
1050,1050,"rhode island, usa"
1051,1051,albuquerque new mexico 
1052,1052,"new york, ny"
1053,1053,"cincinnati, ohio"
1054,1054,"buffalo, ny"
1055,1055,"pittsburgh, pa"
1056,1056,"seattle, wa"
1057,1057,"obama, fukui, japan."
1058,1058,"new jersey, usa"
1059,1059,"louisville, ky"
1060,1060,"bulacan, central luzon"
1061,1061,"fort worth, tx"
1062,1062,"middletown, ct"
1063,1063,"santa ana, ca"
1064,1064,new york
1065,1065,"phoenix, az"
1066,1066,"miami, fl"
1067,1067,"north carolina, usa"
1068,1068,"sk, canada"
1069,1069,"hollywood, los angeles"
1070,1070,"minnesota, usa"
1071,1071,"mustang, ok"
1072,1072,"texas, usa"
1073,1073,"baltimore, maryland"
1074,1074,"columbus, oh"
1075,1075,"akron, oh"
1076,1076,"valdosta, ga"
1077,1077,"indiana, usa"
1078,1078,"boston, ma"
1079,1079,"mercedes, tejas"
1080,1080,"las vegas, nv"
1081,1081,"massachusetts, usa"
