,0
1763,GA
1764,TX
1765,GA
1766,TX
1767,TX
1768,FL
1769,IL
1770,CA
1771,CA
1772,TX
1773,WI
1774,TX
1775,AZ
1776,TX
1777,PA
1778,CA
1779,TN
1780,NE
1781,CA
1782,OK
1783,CA
1784,FL
1785,FL
1786,TX
1787,FL
1788,IL
1789,OH
1790,TX
1791,OH
1792,TX
1793,AZ
1794,TX
1795,CA
1796,CA
1797,NV
1798,MA
1799,KY
1800,PA
1801,TX
1802,IL
1803,KY
1804,AZ
1805,WA
1806,AZ
1807,NC
1808,NJ
1809,IL
1810,TX
1811,TX
1812,FL
1813,FL
1814,TX
1815,FL
1816,CA
1817,PA
1818,FL
1819,TX
1820,OR
1821,MS
1822,TN
1823,WV
1824,MI
1825,KY
1826,CA
1827,IL
1828,MI
1829,NV
1830,NV
1831,WA
1832,NJ
1833,GA
1834,FL
1835,CA
1836,CA
1837,ID
1838,CO
1839,CA
1840,FL
1841,LA
1842,CA
1843,GA
1844,OK
1845,SC
1846,PA
1847,MD
1848,SC
1849,CO
1850,CT
1851,WA
1852,AK
1853,VA
1854,TX
1855,TX
1856,CA
1857,TX
1858,TX
1859,MA
1860,NY
1861,TX
1862,TX
1863,TX
1864,GA
1865,CA
1866,OR
1867,OH
1868,CA
1869,MI
1870,AR
1871,MI
1872,CA
1873,NY
1874,UT
1875,CA
1876,SC
1877,WA
1878,PA
1879,TX
1880,TX
1881,MD
1882,NC
1883,NY
1884,NC
1885,MI
1886,CA
1887,TX
1888,MA
1889,WA
1890,TX
1891,TX
1892,NJ
1893,CO
1894,PA
1895,VA
1896,MO
1897,CA
1898,TX
1899,CA
1900,TX
1901,CA
1902,CA
1903,CA
1904,PA
1905,TX
1906,NY
1907,PA
1908,IL
1909,NY
1910,LA
1911,CA
1912,CA
1913,TX
1914,NY
1915,VA
1916,CA
1917,FL
1918,CA
1919,CA
1920,OK
1921,NY
1922,GA
1923,CO
1924,GA
1925,CA
1926,CA
1927,CA
1928,TX
1929,WA
1930,TN
1931,CO
1932,MA
1933,NY
1934,TX
1935,CA
1936,AL
1937,OH
1938,PA
1939,NJ
1940,CA
1941,NY
1942,OH
1943,MI
1944,CA
1945,MD
1946,CA
1947,NV
1948,PA
1949,NY
1950,VA
1951,CA
1952,OH
1953,TX
1954,TX
1955,CA
1956,WA
1957,VA
1958,KS
1959,NY
1960,NC
1961,IL
1962,KS
1963,TX
1964,PA
1965,KY
1966,MO
1967,FL
1968,CA
1969,CA
1970,FL
1971,IL
1972,OR
1973,CO
1974,TN
1975,IL
1976,PA
1977,MI
1978,TX
1979,TX
1980,OK
1981,CA
1982,WA
1983,NJ
1984,IL
1985,FL
1986,FL
1987,PA
1988,AZ
1989,NY
1990,FL
1991,PA
1992,GA
1993,MO
1994,CA
1995,KS
1996,TX
1997,NJ
1998,FL
1999,TX
2000,PA
2001,TX
2002,TX
2003,WI
2004,PA
2005,TX
2006,IL
2007,CA
2008,PA
2009,WA
2010,AZ
2011,MI
2012,FL
2013,OK
2014,TX
2015,VA
2016,FL
2017,MO
2018,ID
2019,FL
2020,IL
2021,TX
2022,TX
2023,WA
2024,CA
2025,CA
2026,VT
2027,TX
2028,PA
2029,TN
2030,NY
2031,TX
2032,CT
2033,TX
2034,AL
2035,GA
2036,UT
2037,CO
2038,NY
2039,CO
2040,TN
2041,MO
2042,CA
2043,TX
2044,TX
2045,CA
2046,NE
2047,TX
2048,PA
2049,CO
2050,TX
2051,CA
2052,FL
2053,TX
2054,NY
2055,NY
2056,CA
2057,MI
2058,NC
2059,NC
2060,WY
2061,NV
2062,AR
2063,IL
2064,NY
2065,RI
2066,IL
2067,CO
2068,NC
2069,TX
2070,FL
2071,FL
2072,FL
2073,TX
2074,MI
2075,TX
2076,NY
2077,TX
2078,TX
2079,TX
2080,TX
2081,TX
2082,SC
2083,TX
2084,CA
2085,VA
2086,TX
2087,PA
2088,MA
2089,TX
2090,NJ
2091,PA
2092,AZ
2093,AZ
2094,CA
2095,TX
2096,TX
2097,NV
2098,KY
2099,NV
2100,MI
2101,Ontario
2102,CA
2103,OR
2104,IL
2105,CA
2106,UT
2107,TX
2108,CA
2109,NH
2110,CA
2111,NV
2112,MA
2113,CA
2114,CA
2115,CA
2116,OH
2117,VA
2118,KY
2119,MD
2120,OH
2121,WA
2122,MO
2123,AR
2124,ID
2125,CA
2126,CA
2127,FL
2128,CO
2129,CA
2130,NC
2131,AZ
2132,MA
2133,AZ
2134,CO
2135,IN
2136,IL
2137,TX
2138,AZ
2139,MN
2140,AR
2141,CO
2142,FL
2143,NV
2144,OH
2145,OR
2146,OH
2147,AZ
2148,WI
2149,OH
2150,TX
2151,PA
2152,AZ
2153,FL
2154,MA
2155,CA
2156,VA
2157,NV
2158,TX
2159,NC
2160,TX
2161,TN
2162,NY
2163,TX
2164,PA
2165,GA
2166,TN
2167,TX
2168,PA
2169,MD
2170,NM
2171,NY
2172,NY
2173,NY
2174,CO
2175,NY
2176,FL
2177,TX
2178,TX
2179,OH
2180,MO
2181,FL
2182,MI
2183,TX
2184,TX
2185,KS
2186,WA
2187,NV
2188,CA
2189,CA
2190,CA
2191,TX
2192,CO
2193,TX
2194,TX
2195,TX
2196,TX
2197,NY
2198,CA
2199,WV
2200,CA
2201,KS
2202,WI
2203,TX
2204,TX
2205,WV
2206,WA
2207,OH
2208,OH
2209,GA
2210,GA
2211,NY
2212,MI
2213,CA
2214,CA
2215,LA
2216,CA
2217,VA
2218,UT
2219,TX
2220,KY
2221,SC
2222,FL
2223,NY
2224,TX
2225,FL
2226,CA
2227,TX
2228,PA
2229,CA
2230,TX
2231,CA
2232,TX
2233,CA
2234,NE
2235,CA
2236,NC
2237,AZ
2238,NY
2239,KY
2240,IN
2241,WA
2242,CA
2243,FL
2244,LA
2245,CA
2246,AL
2247,PA
2248,TX
2249,TX
2250,MI
2251,FL
2252,NJ
2253,TX
2254,TX
2255,MA
2256,OR
2257,TX
2258,TX
2259,IL
2260,UT
2261,IL
2262,WI
2263,CA
2264,CO
2265,UT
2266,TX
2267,MI
2268,PA
2269,PA
2270,OH
2271,CA
2272,OH
2273,CA
2274,IL
2275,IL
2276,MO
2277,TX
2278,MD
2279,NY
2280,PA
2281,IN
2282,MN
2283,CO
2284,NY
2285,TX
2286,MI
2287,PA
2288,LA
2289,NV
2290,NV
2291,TX
2292,OK
2293,FL
2294,FL
2295,CA
2296,AZ
2297,TX
2298,CT
2299,WA
2300,VA
2301,TX
2302,GA
2303,WA
2304,CA
2305,CA
2306,CA
2307,FL
2308,NY
2309,IL
2310,CA
2311,FL
2312,PA
2313,NC
2314,TX
2315,TX
2316,CO
2317,CA
2318,TX
2319,IL
2320,VA
2321,PA
2322,WA
2323,CA
2324,CA
2325,NY
2326,LA
2327,MD
2328,NC
2329,CT
2330,ND
2331,MD
2332,NY
2333,MI
2334,CO
2335,FL
2336,RI
2337,FL
2338,NV
2339,CA
2340,FL
2341,GA
2342,TX
2343,TX
2344,NY
2345,MI
2346,TX
2347,OH
2348,NJ
2349,SC
2350,CA
2351,MN
2352,PA
2353,CO
2354,TX
2355,VA
2356,ND
2357,IL
2358,TX
2359,MI
2360,CA
2361,CA
2362,CA
2363,AZ
2364,WA
2365,OH
2366,TX
2367,NY
2368,PA
2369,AL
2370,CA
2371,IL
2372,TX
2373,FL
2374,WA
2375,CO
2376,FL
2377,CA
2378,LA
2379,NJ
2380,NY
2381,TX
2382,PA
2383,PA
2384,UT
2385,FL
2386,CA
2387,IL
2388,GA
2389,MI
2390,FL
2391,MA
2392,TX
2393,MD
2394,WV
2395,NY
2396,IL
2397,CA
2398,IL
2399,FL
2400,WA
2401,FL
2402,NY
2403,ID
2404,PA
2405,CA
2406,NY
2407,FL
2408,NY
2409,TX
2410,AZ
2411,PA
2412,TX
2413,TX
2414,NJ
2415,CA
2416,NY
2417,CO
2418,MD
2419,CO
2420,PA
2421,FL
2422,NH
2423,CA
2424,MI
2425,UT
2426,NC
2427,NV
2428,OH
2429,NJ
2430,TX
2431,TX
2432,KY
2433,CA
2434,SC
2435,IL
2436,TN
2437,CA
2438,TN
2439,OH
2440,SC
2441,TX
2442,ID
2443,CA
2444,MO
2445,CA
2446,NY
2447,TX
2448,WA
2449,MN
2450,PA
2451,GA
2452,FL
2453,FL
2454,TX
2455,NJ
2456,MD
2457,WA
2458,CO
2459,MA
2460,PA
2461,SC
2462,CA
2463,FL
2464,OK
2465,KY
2466,WA
2467,PA
2468,AZ
2469,CA
2470,OR
2471,MO
2472,DE
2473,AR
